jobId,title,category,company,location,salary,listing_time,url
73778569,"React Programmer",Developer/Programmer,"Laksana Bus and Coach",Semarang,,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73778569?type=standout&ref=search-standalone&origin=cardTitle
73778355,"IT SAP ABAP",Developer/Programmer,"PT Ultra Sakti","Jakarta Utara",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73778355?type=standard&ref=search-standalone&origin=cardTitle
73809235,"Junior Software Development Engineer in Test","Uji Coba & Penjaminan Mutu","PT Moladin Digital Indonesia","Jakarta Raya",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73809235?type=standard&ref=search-standalone&origin=cardTitle
73809328,"Senior Software Development Engineer in Test","Uji Coba & Penjaminan Mutu","PT Moladin Digital Indonesia","Jakarta Raya",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73809328?type=standard&ref=search-standalone&origin=cardTitle
73809804,"Python Developer (English Active)",Developer/Programmer,"PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH)","Kecamatan Tangerang",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73809804?type=standard&ref=search-standalone&origin=cardTitle
73777307,"Front-End Developer",Developer/Programmer,,Kuta,"Rp 5.000.000 – Rp 7.500.000 per month","1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73777307?type=standout&ref=search-standalone&origin=cardTitle
73776587,"Fullstack Web3 Developer",Developer/Programmer,,Kuta,"Rp 5.000.000 – Rp 7.500.000 per month","1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73776587?type=standout&ref=search-standalone&origin=cardTitle
73802556,"SOC Manager",Keamanan,"Juke Solutions","Jakarta Raya",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73802556?type=standard&ref=search-standalone&origin=cardTitle
73802739,"IT Security Engineer",Keamanan,"PT Moladin Digital Indonesia","Jakarta Raya",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73802739?type=standard&ref=search-standalone&origin=cardTitle
73802476,"Backend Java Springboot - Banking Experience","Teknik – Perangkat Lunak","PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH)","Jakarta Raya",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73802476?type=standard&ref=search-standalone&origin=cardTitle
73802626,"Admin Collection","Pengembangan & Administrasi Database","PT Moladin Digital Indonesia","Jakarta Raya",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73802626?type=standard&ref=search-standalone&origin=cardTitle
73777678,"Backend Technical Lead",Developer/Programmer,LittleLives,"Jakarta Raya",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73777678?type=standard&ref=search-standalone&origin=cardTitle
73816116,"Junior IT Executive",Manajemen,"PT LOVE BONITO INDONESIA","Kebayoran Lama",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73816116?type=standard&ref=search-standalone&origin=cardTitle
73769796,"Fullstack Developer",Developer/Programmer,,Bekasi,,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73769796?type=standout&ref=search-standalone&origin=cardTitle
73768770,"IT Networking","Administrasi Jaringan & Sistem",,Bekasi,,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73768770?type=standout&ref=search-standalone&origin=cardTitle
73770150,"IT Mobile Apps (Android Developer)",Developer/Programmer,"Ranch Market",Kalideres,,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73770150?type=standard&ref=search-standalone&origin=cardTitle
73767838,"APPLICATION SPECIALIST","Manajemen & Pengembangan Produk","PT Dentalities Group Asia","Jakarta Pusat",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73767838?type=standard&ref=search-standalone&origin=cardTitle
73766579,"Web Developer",Developer/Programmer,"ELISOFT TEKNOLOGI INDONESIA","Jakarta Utara",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73766579?type=standard&ref=search-standalone&origin=cardTitle
73766575,"IT SPECIALIST","Administrasi Jaringan & Sistem","PT Faito Racing Development Indonesia","Jakarta Timur","Rp 8.000.000 – Rp 12.000.000 per month","1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73766575?type=standout&ref=search-standalone&origin=cardTitle
73766540,"Cyber Security Consultant",Keamanan,"PT Veda Praxis","Jakarta Selatan",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73766540?type=standard&ref=search-standalone&origin=cardTitle
